AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
MOUNT GAMBIER,2014,-,1986,1984,3970,0,0,0,1986,1984,3970
MOUNT GAMBIER,2015,-,1987,1984,3971,0,0,0,1987,1984,3971
MOUNT GAMBIER,2016,-,1987,1985,3972,0,0,0,1987,1985,3972
MOUNT ISA,1985,-,1344,1343,2687,0,0,0,1344,1343,2687
MOUNT ISA,1986,-,1440,1440,2880,0,0,0,1440,1440,2880
MOUNT ISA,1987,-,1381,1383,2764,0,0,0,1381,1383,2764
MOUNT ISA,1988,-,1126,1128,2254,0,0,0,1126,1128,2254
MOUNT ISA,1989,-,740,738,1478,0,0,0,740,738,1478
MOUNT ISA,1990,-,371,371,742,0,0,0,371,371,742
MOUNT ISA,1991,-,2012,2017,4029,0,0,0,2012,2017,4029
MOUNT ISA,1992,-,1665,1674,3339,0,0,0,1665,1674,3339
MOUNT ISA,1993,-,1581,1580,3161,0,0,0,1581,1580,3161
MOUNT ISA,1994,-,1805,1806,3611,0,0,0,1805,1806,3611
MOUNT ISA,1995,-,2066,2063,4129,0,0,0,2066,2063,4129
MOUNT ISA,1996,-,1958,1958,3916,0,0,0,1958,1958,3916
MOUNT ISA,1997,-,2102,2096,4198,0,0,0,2102,2096,4198
MOUNT ISA,1998,-,2317,2310,4627,0,0,0,2317,2310,4627
MOUNT ISA,1999,36,2875,2883,5758,0,0,0,2875,2883,5758
MOUNT ISA,2000,35,2665,2695,5360,0,0,0,2665,2695,5360
MOUNT ISA,2001,-,2103,2179,4282,0,0,0,2103,2179,4282
MOUNT ISA,2002,-,1811,1933,3744,0,0,0,1811,1933,3744
MOUNT ISA,2003,-,1802,1873,3675,0,0,0,1802,1873,3675
MOUNT ISA,2004,-,1785,1802,3587,0,0,0,1785,1802,3587
MOUNT ISA,2005,-,1826,1820,3646,0,0,0,1826,1820,3646
MOUNT ISA,2006,-,1936,1991,3927,0,0,0,1936,1991,3927
MOUNT ISA,2007,-,2211,2216,4427,0,0,0,2211,2216,4427
MOUNT ISA,2008,-,2223,2232,4455,0,0,0,2223,2232,4455
MOUNT ISA,2009,-,1668,1552,3220,0,0,0,1668,1552,3220
MOUNT ISA,2010,-,2569,2316,4885,0,0,0,2569,2316,4885
MOUNT ISA,2011,28,2859,2638,5497,0,0,0,2859,2638,5497
MOUNT ISA,2012,24,3105,2888,5993,0,0,0,3105,2888,5993
MOUNT ISA,2013,27,3172,2943,6115,0,0,0,3172,2943,6115
MOUNT ISA,2014,28,3052,2822,5874,0,0,0,3052,2822,5874
MOUNT ISA,2015,-,2458,2396,4854,0,0,0,2458,2396,4854
MOUNT ISA,2016,-,2448,2380,4828,0,0,0,2448,2380,4828
NARRANDERA,1985,-,524,523,1047,0,0,0,524,523,1047
NARRANDERA,1986,-,525,523,1048,0,0,0,525,523,1048
NARRANDERA,1987,-,497,494,991,0,0,0,497,494,991
NARRANDERA,1988,-,484,484,968,0,0,0,484,484,968
NARRANDERA,1989,-,261,260,521,0,0,0,261,260,521
NARRANDERA,1990,-,742,821,1563,0,0,0,742,821,1563
NARRANDERA,1991,-,847,844,1691,0,0,0,847,844,1691
NARRANDERA,1992,-,608,607,1215,0,0,0,608,607,1215
NARRANDERA,1993,-,810,841,1651,0,0,0,810,841,1651
NARRANDERA,1994,-,873,874,1747,0,0,0,873,874,1747
NARRANDERA,1995,-,740,756,1496,0,0,0,740,756,1496
NARRANDERA,1996,-,628,628,1256,0,0,0,628,628,1256
NARRANDERA,1997,-,641,650,1291,0,0,0,641,650,1291
NARRANDERA,1998,-,1020,1070,2090,0,0,0,1020,1070,2090
NARRANDERA,1999,-,1007,1019,2026,0,0,0,1007,1019,2026
NARRANDERA,2000,-,1004,1020,2024,0,0,0,1004,1020,2024
NARRANDERA,2001,-,826,828,1654,0,0,0,826,828,1654
NARRANDERA,2002,-,1118,1118,2236,0,0,0,1118,1118,2236
NARRANDERA,2003,-,1132,1134,2266,0,0,0,1132,1134,2266
NARRANDERA,2004,-,1205,1204,2409,0,0,0,1205,1204,2409
NARRANDERA,2005,-,1463,1465,2928,0,0,0,1463,1465,2928
NARRANDERA,2006,-,1360,1361,2721,0,0,0,1360,1361,2721
NARRANDERA,2007,-,1391,1392,2783,0,0,0,1391,1392,2783
NARRANDERA,2008,-,1524,1530,3054,0,0,0,1524,1530,3054
NARRANDERA,2009,-,1464,1471,2935,0,0,0,1464,1471,2935
NARRANDERA,2010,-,1480,1484,2964,0,0,0,1480,1484,2964
NARRANDERA,2011,-,1455,1481,2936,0,0,0,1455,1481,2936
NARRANDERA,2012,-,1468,1499,2967,0,0,0,1468,1499,2967
NARRANDERA,2013,-,1486,1512,2998,0,0,0,1486,1512,2998
NARRANDERA,2014,-,1360,1482,2842,0,0,0,1360,1482,2842
NARRANDERA,2015,-,1217,1488,2705,0,0,0,1217,1488,2705
NARRANDERA,2016,-,1518,1536,3054,0,0,0,1518,1536,3054
NEWMAN,1985,-,970,1097,2067,0,0,0,970,1097,2067
NEWMAN,1986,-,703,729,1432,0,0,0,703,729,1432
NEWMAN,1987,-,691,710,1401,0,0,0,691,710,1401
NEWMAN,1988,-,823,827,1650,0,0,0,823,827,1650
NEWMAN,1989,-,569,569,1138,0,0,0,569,569,1138
NEWMAN,1990,-,811,812,1623,0,0,0,811,812,1623
NEWMAN,1991,-,736,736,1472,0,0,0,736,736,1472
NEWMAN,1992,-,812,812,1624,0,0,0,812,812,1624
NEWMAN,1993,-,768,768,1536,0,0,0,768,768,1536
NEWMAN,1994,-,739,739,1478,0,0,0,739,739,1478
NEWMAN,1995,-,901,898,1799,0,0,0,901,898,1799
NEWMAN,1996,-,875,858,1733,0,0,0,875,858,1733
NEWMAN,1997,-,688,687,1375,0,0,0,688,687,1375
NEWMAN,1998,-,678,678,1356,0,0,0,678,678,1356
NEWMAN,1999,-,634,634,1268,0,0,0,634,634,1268
NEWMAN,2000,-,635,635,1270,0,0,0,635,635,1270
NEWMAN,2001,-,674,677,1351,0,0,0,674,677,1351
NEWMAN,2002,-,658,658,1316,0,0,0,658,658,1316
NEWMAN,2003,-,699,699,1398,0,0,0,699,699,1398
NEWMAN,2004,-,851,849,1700,0,0,0,851,849,1700
NEWMAN,2005,-,796,790,1586,0,0,0,796,790,1586
NEWMAN,2006,-,748,741,1489,0,0,0,748,741,1489
NEWMAN,2007,-,858,834,1692,0,0,0,858,834,1692
NEWMAN,2008,-,1045,1052,2097,0,0,0,1045,1052,2097
NEWMAN,2009,-,1457,1452,2909,0,0,0,1457,1452,2909
NEWMAN,2010,-,1514,1519,3033,0,0,0,1514,1519,3033
NEWMAN,2011,-,1550,1552,3102,0,0,0,1550,1552,3102
NEWMAN,2012,-,2049,2047,4096,0,0,0,2049,2047,4096
NEWMAN,2013,-,2490,2470,4960,0,0,0,2490,2470,4960
NEWMAN,2014,-,2279,2271,4550,0,0,0,2279,2271,4550
NEWMAN,2015,-,2210,2210,4420,0,0,0,2210,2210,4420
NEWMAN,2016,-,2208,2197,4405,0,0,0,2208,2197,4405
NORFOLK ISLAND,1985,-,655,655,1310,88,88,176,743,743,1486
NORFOLK ISLAND,1986,-,719,726,1445,105,105,210,824,831,1655
NORFOLK ISLAND,1987,-,709,722,1431,112,111,223,821,833,1654
NORFOLK ISLAND,1988,-,685,682,1367,158,160,318,843,842,1685
NORFOLK ISLAND,1989,-,660,792,1452,158,158,316,818,950,1768
NORFOLK ISLAND,1990,-,550,553,1103,169,169,338,719,722,1441
NORFOLK ISLAND,1991,-,551,539,1090,200,200,400,751,739,1490
NORFOLK ISLAND,1992,-,688,679,1367,173,173,346,861,852,1713
NORFOLK ISLAND,1993,-,479,479,958,119,119,238,598,598,1196
NORFOLK ISLAND,1994,-,455,454,909,112,111,223,567,565,1132
NORFOLK ISLAND,1995,-,475,475,950,107,107,214,582,582,1164
NORFOLK ISLAND,1996,-,365,365,730,108,108,216,473,473,946
NORFOLK ISLAND,1997,-,572,573,1145,107,107,214,679,680,1359
NORFOLK ISLAND,1998,-,733,733,1466,106,106,212,839,839,1678
NORFOLK ISLAND,1999,-,596,593,1189,104,104,208,700,697,1397
NORFOLK ISLAND,2000,-,516,516,1032,105,105,210,621,621,1242
NORFOLK ISLAND,2001,-,372,373,745,106,104,210,478,477,955
NORFOLK ISLAND,2002,-,339,337,676,102,101,203,441,438,879
NORFOLK ISLAND,2003,-,515,518,1033,105,101,206,620,619,1239
NORFOLK ISLAND,2004,-,416,416,832,104,104,208,520,520,1040
NORFOLK ISLAND,2005,-,272,275,547,104,103,207,376,378,754
NORFOLK ISLAND,2006,-,313,313,626,104,105,209,417,418,835
NORFOLK ISLAND,2007,-,380,380,760,104,104,208,484,484,968
NORFOLK ISLAND,2008,-,404,404,808,101,102,203,505,506,1011
NORFOLK ISLAND,2009,-,376,377,753,65,66,131,441,443,884
NORFOLK ISLAND,2010,-,365,365,730,55,54,109,420,419,839
NORFOLK ISLAND,2011,-,409,409,818,52,52,104,461,461,922
NORFOLK ISLAND,2012,-,239,241,480,53,52,105,292,293,585
NORFOLK ISLAND,2013,-,208,209,417,54,54,108,262,263,525
NORFOLK ISLAND,2014,-,208,208,416,54,53,107,262,261,523
NORFOLK ISLAND,2015,-,207,208,415,54,53,107,261,261,522
NORFOLK ISLAND,2016,-,214,214,428,53,53,106,267,267,534
NORMANTON,1985,-,442,443,885,0,0,0,442,443,885
NORMANTON,1986,-,255,256,511,0,0,0,255,256,511
NORMANTON,1987,-,199,199,398,0,0,0,199,199,398
NORMANTON,1988,-,0,0,0,0,0,0,0,0,0
NORMANTON,1989,-,0,0,0,0,0,0,0,0,0
NORMANTON,1990,-,78,147,225,0,0,0,78,147,225
NORMANTON,1991,-,740,724,1464,0,0,0,740,724,1464
NORMANTON,1992,-,737,736,1473,0,0,0,737,736,1473
NORMANTON,1993,-,641,639,1280,0,0,0,641,639,1280
NORMANTON,1994,-,689,690,1379,0,0,0,689,690,1379
NORMANTON,1995,-,641,641,1282,0,0,0,641,641,1282
NORMANTON,1996,-,659,659,1318,0,0,0,659,659,1318
NORMANTON,1997,-,730,730,1460,0,0,0,730,730,1460
NORMANTON,1998,-,730,730,1460,0,0,0,730,730,1460
NORMANTON,1999,-,731,731,1462,0,0,0,731,731,1462
NORMANTON,2000,-,730,730,1460,0,0,0,730,730,1460
NORMANTON,2001,-,635,635,1270,0,0,0,635,635,1270
NORMANTON,2002,-,472,472,944,0,0,0,472,472,944
NORMANTON,2003,-,468,468,936,0,0,0,468,468,936
NORMANTON,2004,-,471,471,942,0,0,0,471,471,942
NORMANTON,2005,-,469,469,938,0,0,0,469,469,938
NORMANTON,2006,-,551,551,1102,0,0,0,551,551,1102
NORMANTON,2007,-,516,515,1031,0,0,0,516,515,1031
NORMANTON,2008,-,496,498,994,0,0,0,496,498,994
NORMANTON,2009,-,37,37,74,0,0,0,37,37,74
NORMANTON,2010,-,256,256,512,0,0,0,256,256,512
NORMANTON,2011,-,515,510,1025,0,0,0,515,510,1025
NORMANTON,2012,-,513,514,1027,0,0,0,513,514,1027
NORMANTON,2013,-,459,458,917,0,0,0,459,458,917
NORMANTON,2014,-,415,415,830,0,0,0,415,415,830
NORMANTON,2015,-,447,447,894,0,0,0,447,447,894
NORMANTON,2016,-,685,685,1370,0,0,0,685,685,1370
OLYMPIC DAM,1985,-,876,883,1759,0,0,0,876,883,1759
OLYMPIC DAM,1986,-,741,740,1481,0,0,0,741,740,1481
OLYMPIC DAM,1987,-,1345,1313,2658,0,0,0,1345,1313,2658
OLYMPIC DAM,1988,-,1277,1285,2562,0,0,0,1277,1285,2562
OLYMPIC DAM,1989,-,987,988,1975,0,0,0,987,988,1975
OLYMPIC DAM,1990,-,777,839,1616,0,0,0,777,839,1616
OLYMPIC DAM,1991,-,699,702,1401,0,0,0,699,702,1401
OLYMPIC DAM,1992,-,795,800,1595,0,0,0,795,800,1595
OLYMPIC DAM,1993,-,825,825,1650,0,0,0,825,825,1650
OLYMPIC DAM,1994,-,882,882,1764,0,0,0,882,882,1764
OLYMPIC DAM,1995,-,984,982,1966,0,0,0,984,982,1966
OLYMPIC DAM,1996,-,956,957,1913,0,0,0,956,957,1913
OLYMPIC DAM,1997,-,1330,1326,2656,0,0,0,1330,1326,2656
OLYMPIC DAM,1998,-,1338,1338,2676,0,0,0,1338,1338,2676
OLYMPIC DAM,1999,-,1351,1351,2702,0,0,0,1351,1351,2702
OLYMPIC DAM,2000,-,1306,1306,2612,0,0,0,1306,1306,2612
OLYMPIC DAM,2001,-,912,912,1824,0,0,0,912,912,1824
OLYMPIC DAM,2002,-,577,577,1154,0,0,0,577,577,1154
OLYMPIC DAM,2003,-,822,825,1647,0,0,0,822,825,1647
OLYMPIC DAM,2004,-,857,857,1714,0,0,0,857,857,1714
OLYMPIC DAM,2005,-,869,867,1736,0,0,0,869,867,1736
OLYMPIC DAM,2006,-,1132,1133,2265,0,0,0,1132,1133,2265
OLYMPIC DAM,2007,-,1281,1281,2562,0,0,0,1281,1281,2562
OLYMPIC DAM,2008,-,1131,1131,2262,0,0,0,1131,1131,2262
OLYMPIC DAM,2009,-,1014,1014,2028,0,0,0,1014,1014,2028
OLYMPIC DAM,2010,-,888,879,1767,0,0,0,888,879,1767
OLYMPIC DAM,2011,-,1051,1054,2105,0,0,0,1051,1054,2105
OLYMPIC DAM,2012,-,1363,1374,2737,0,0,0,1363,1374,2737
OLYMPIC DAM,2013,-,1140,1143,2283,0,0,0,1140,1143,2283
OLYMPIC DAM,2014,-,1145,1132,2277,0,0,0,1145,1132,2277
OLYMPIC DAM,2015,-,986,985,1971,0,0,0,986,985,1971
OLYMPIC DAM,2016,-,753,749,1502,0,0,0,753,749,1502
ORANGE,1985,20,4307,4353,8660,0,0,0,4307,4353,8660
ORANGE,1986,22,4013,4314,8327,0,0,0,4013,4314,8327
ORANGE,1987,17,4998,5164,10162,0,0,0,4998,5164,10162
ORANGE,1988,17,4830,4789,9619,0,0,0,4830,4789,9619
ORANGE,1989,30,2568,2711,5279,0,0,0,2568,2711,5279
ORANGE,1990,21,3931,4024,7955,0,0,0,3931,4024,7955
ORANGE,1991,35,2850,2922,5772,0,0,0,2850,2922,5772
ORANGE,1992,-,2087,2049,4136,0,0,0,2087,2049,4136
ORANGE,1993,-,2465,2345,4810,0,0,0,2465,2345,4810
ORANGE,1994,32,3138,3084,6222,0,0,0,3138,3084,6222
ORANGE,1995,39,2543,2551,5094,0,0,0,2543,2551,5094
ORANGE,1996,-,2405,2382,4787,0,0,0,2405,2382,4787
ORANGE,1997,-,2372,2360,4732,0,0,0,2372,2360,4732
ORANGE,1998,-,1785,1773,3558,0,0,0,1785,1773,3558
ORANGE,1999,-,1558,1614,3172,0,0,0,1558,1614,3172
ORANGE,2000,-,1501,1618,3119,0,0,0,1501,1618,3119
ORANGE,2001,-,1475,1545,3020,0,0,0,1475,1545,3020
ORANGE,2002,-,1544,1566,3110,0,0,0,1544,1566,3110
ORANGE,2003,-,1133,1131,2264,0,0,0,1133,1131,2264
ORANGE,2004,-,1252,1253,2505,0,0,0,1252,1253,2505
ORANGE,2005,-,1247,1247,2494,0,0,0,1247,1247,2494
ORANGE,2006,-,1259,1261,2520,0,0,0,1259,1261,2520
ORANGE,2007,-,1260,1255,2515,0,0,0,1260,1255,2515
ORANGE,2008,-,1270,1271,2541,0,0,0,1270,1271,2541
ORANGE,2009,-,1200,1203,2403,0,0,0,1200,1203,2403
ORANGE,2010,-,1160,1152,2312,0,0,0,1160,1152,2312
ORANGE,2011,-,1177,1175,2352,0,0,0,1177,1175,2352
ORANGE,2012,-,1437,1425,2862,0,0,0,1437,1425,2862
ORANGE,2013,-,1847,1843,3690,0,0,0,1847,1843,3690
ORANGE,2014,-,1250,1245,2495,0,0,0,1250,1245,2495
ORANGE,2015,-,1204,1200,2404,0,0,0,1204,1200,2404
ORANGE,2016,-,1199,1191,2390,0,0,0,1199,1191,2390
PALM ISLAND,1985,-,786,790,1576,0,0,0,786,790,1576
PALM ISLAND,1986,-,690,715,1405,0,0,0,690,715,1405
PALM ISLAND,1987,-,564,564,1128,0,0,0,564,564,1128
PALM ISLAND,1988,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1989,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1990,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1991,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1992,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1993,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1994,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1995,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1996,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1997,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1998,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,1999,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,2000,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,2001,-,0,0,0,0,0,0,0,0,0
PALM ISLAND,2002,-,385,385,770,0,0,0,385,385,770
PALM ISLAND,2003,-,1404,1404,2808,0,0,0,1404,1404,2808
PALM ISLAND,2004,-,1296,1296,2592,0,0,0,1296,1296,2592
PALM ISLAND,2005,-,2230,2232,4462,0,0,0,2230,2232,4462
PALM ISLAND,2006,-,1861,1861,3722,0,0,0,1861,1861,3722
PALM ISLAND,2007,-,1158,1158,2316,0,0,0,1158,1158,2316
PALM ISLAND,2008,-,927,928,1855,0,0,0,927,928,1855
PALM ISLAND,2009,-,1922,1922,3844,0,0,0,1922,1922,3844
PALM ISLAND,2010,29,2506,2512,5018,0,0,0,2506,2512,5018
PALM ISLAND,2011,26,2983,3001,5984,0,0,0,2983,3001,5984
PALM ISLAND,2012,28,2911,2912,5823,0,0,0,2911,2912,5823
PALM ISLAND,2013,34,2551,2528,5079,0,0,0,2551,2528,5079
PALM ISLAND,2014,-,2378,2362,4740,0,0,0,2378,2362,4740
PALM ISLAND,2015,-,2497,2497,4994,0,0,0,2497,2497,4994
PALM ISLAND,2016,28,2590,2589,5179,0,0,0,2590,2589,5179
PARABURDOO,1985,-,1061,1052,2113,0,0,0,1061,1052,2113
PARABURDOO,1986,-,739,736,1475,0,0,0,739,736,1475
PARABURDOO,1987,-,703,713,1416,0,0,0,703,713,1416
PARABURDOO,1988,-,757,759,1516,0,0,0,757,759,1516
PARABURDOO,1989,-,556,555,1111,0,0,0,556,555,1111
PARABURDOO,1990,-,647,647,1294,0,0,0,647,647,1294
PARABURDOO,1991,-,638,638,1276,0,0,0,638,638,1276
PARABURDOO,1992,-,667,668,1335,0,0,0,667,668,1335
PARABURDOO,1993,-,639,642,1281,0,0,0,639,642,1281
PARABURDOO,1994,-,649,649,1298,0,0,0,649,649,1298
PARABURDOO,1995,-,682,679,1361,0,0,0,682,679,1361
PARABURDOO,1996,-,642,641,1283,0,0,0,642,641,1283
PARABURDOO,1997,-,629,625,1254,0,0,0,629,625,1254
PARABURDOO,1998,-,600,599,1199,0,0,0,600,599,1199
PARABURDOO,1999,-,573,573,1146,0,0,0,573,573,1146
PARABURDOO,2000,-,575,574,1149,0,0,0,575,574,1149
PARABURDOO,2001,-,583,582,1165,0,0,0,583,582,1165
PARABURDOO,2002,-,627,627,1254,0,0,0,627,627,1254
PARABURDOO,2003,-,628,628,1256,0,0,0,628,628,1256
PARABURDOO,2004,-,633,631,1264,0,0,0,633,631,1264
PARABURDOO,2005,-,672,672,1344,0,0,0,672,672,1344
PARABURDOO,2006,-,634,635,1269,0,0,0,634,635,1269
PARABURDOO,2007,-,713,713,1426,0,0,0,713,713,1426
PARABURDOO,2008,-,809,807,1616,0,0,0,809,807,1616
PARABURDOO,2009,-,966,959,1925,0,0,0,966,959,1925
PARABURDOO,2010,-,1242,1240,2482,0,0,0,1242,1240,2482
PARABURDOO,2011,-,1526,1526,3052,0,0,0,1526,1526,3052
PARABURDOO,2012,-,1946,1941,3887,0,0,0,1946,1941,3887
PARABURDOO,2013,-,1561,1558,3119,0,0,0,1561,1558,3119
PARABURDOO,2014,-,1505,1499,3004,0,0,0,1505,1499,3004
PARABURDOO,2015,-,1418,1413,2831,0,0,0,1418,1413,2831
PARABURDOO,2016,-,1268,1252,2520,0,0,0,1268,1252,2520
PARKES,1985,-,1239,1239,2478,0,0,0,1239,1239,2478
PARKES,1986,-,1175,1175,2350,0,0,0,1175,1175,2350
PARKES,1987,-,1455,1455,2910,0,0,0,1455,1455,2910
PARKES,1988,-,1439,1285,2724,0,0,0,1439,1285,2724
PARKES,1989,-,1571,1572,3143,0,0,0,1571,1572,3143
PARKES,1990,-,2094,2122,4216,0,0,0,2094,2122,4216
PARKES,1991,-,900,920,1820,0,0,0,900,920,1820
PARKES,1992,-,915,932,1847,0,0,0,915,932,1847
PARKES,1993,-,995,1001,1996,0,0,0,995,1001,1996
PARKES,1994,-,984,1021,2005,0,0,0,984,1021,2005
PARKES,1995,-,939,945,1884,0,0,0,939,945,1884
PARKES,1996,-,978,986,1964,0,0,0,978,986,1964
PARKES,1997,-,990,994,1984,0,0,0,990,994,1984
PARKES,1998,-,1047,1046,2093,0,0,0,1047,1046,2093
PARKES,1999,-,994,1033,2027,0,0,0,994,1033,2027
PARKES,2000,-,1005,993,1998,0,0,0,1005,993,1998
PARKES,2001,-,874,834,1708,0,0,0,874,834,1708
PARKES,2002,-,818,809,1627,0,0,0,818,809,1627
PARKES,2003,-,915,914,1829,0,0,0,915,914,1829
PARKES,2004,-,928,925,1853,0,0,0,928,925,1853
PARKES,2005,-,934,934,1868,0,0,0,934,934,1868
PARKES,2006,-,924,926,1850,0,0,0,924,926,1850
PARKES,2007,-,887,887,1774,0,0,0,887,887,1774
PARKES,2008,-,921,923,1844,0,0,0,921,923,1844
PARKES,2009,-,908,908,1816,0,0,0,908,908,1816
PARKES,2010,-,896,895,1791,0,0,0,896,895,1791
PARKES,2011,-,890,888,1778,0,0,0,890,888,1778
PARKES,2012,-,953,903,1856,0,0,0,953,903,1856
PARKES,2013,-,901,878,1779,0,0,0,901,878,1779
PARKES,2014,-,870,1043,1913,0,0,0,870,1043,1913
PARKES,2015,-,863,1089,1952,0,0,0,863,1089,1952
PARKES,2016,-,880,940,1820,0,0,0,880,940,1820
PERTH,1985,5,20289,20147,40436,1476,1473,2949,21765,21620,43385
PERTH,1986,5,19640,19598,39238,1642,1638,3280,21282,21236,42518
PERTH,1987,5,14317,14228,28545,1655,1652,3307,15972,15880,31852
PERTH,1988,5,14341,14268,28609,1667,1668,3335,16008,15936,31944
PERTH,1989,5,11842,11790,23632,2113,2115,4228,13955,13905,27860
PERTH,1990,5,14173,14238,28411,2424,2425,4849,16597,16663,33260
PERTH,1991,5,16445,16607,33052,2677,2674,5351,19122,19281,38403
PERTH,1992,5,16436,16535,32971,2954,2953,5907,19390,19488,38878
PERTH,1993,5,17569,17515,35084,3560,3561,7121,21129,21076,42205
PERTH,1994,5,19691,19699,39390,3681,3681,7362,23372,23380,46752
PERTH,1995,5,22293,22219,44512,4072,4095,8167,26365,26314,52679
PERTH,1996,5,23716,23712,47428,4459,4458,8917,28175,28170,56345
PERTH,1997,5,23976,24032,48008,4366,4359,8725,28342,28391,56733
PERTH,1998,5,22656,22698,45354,4580,4584,9164,27236,27282,54518
PERTH,1999,5,22467,22503,44970,4800,4804,9604,27267,27307,54574
PERTH,2000,5,23095,23104,46199,5051,5052,10103,28146,28156,56302
PERTH,2001,5,20869,20881,41750,4577,4564,9141,25446,25445,50891
PERTH,2002,5,18388,18417,36805,4170,4165,8335,22558,22582,45140
PERTH,2003,5,20387,20376,40763,4374,4424,8798,24761,24800,49561
PERTH,2004,5,22442,22418,44860,4737,4787,9524,27179,27205,54384
PERTH,2005,5,23306,23277,46583,5368,5406,10774,28674,28683,57357
PERTH,2006,5,24475,24466,48941,5149,5151,10300,29624,29617,59241
PERTH,2007,5,26500,26502,53002,5996,5996,11992,32496,32498,64994
PERTH,2008,5,30505,30446,60951,6716,6706,13422,37221,37152,74373
PERTH,2009,4,32213,32142,64355,7944,7935,15879,40157,40077,80234
PERTH,2010,4,33814,33813,67627,8920,8923,17843,42734,42736,85470
PERTH,2011,4,35335,35489,70824,9557,9558,19115,44892,45047,89939
PERTH,2012,4,39003,39118,78121,9963,9957,19920,48966,49075,98041
PERTH,2013,4,38733,38814,77547,11254,11250,22504,49987,50064,100051
PERTH,2014,4,37782,37813,75595,11839,11846,23685,49621,49659,99280
PERTH,2015,4,36873,36823,73696,10869,10839,21708,47742,47662,95404
PERTH,2016,4,35886,35974,71860,11367,11368,22735,47253,47342,94595
PORT HEDLAND,1985,26,3116,3015,6131,68,68,136,3184,3083,6267
PORT HEDLAND,1986,27,2853,2856,5709,52,52,104,2905,2908,5813
PORT HEDLAND,1987,29,2662,2652,5314,52,52,104,2714,2704,5418
PORT HEDLAND,1988,-,2387,2451,4838,53,53,106,2440,2504,4944
PORT HEDLAND,1989,-,1733,1768,3501,51,51,102,1784,1819,3603
PORT HEDLAND,1990,-,1859,1897,3756,52,52,104,1911,1949,3860
PORT HEDLAND,1991,-,1814,1811,3625,52,52,104,1866,1863,3729
PORT HEDLAND,1992,-,1676,1676,3352,53,53,106,1729,1729,3458
PORT HEDLAND,1993,-,1772,1769,3541,53,53,106,1825,1822,3647
PORT HEDLAND,1994,-,1872,1872,3744,33,33,66,1905,1905,3810
PORT HEDLAND,1995,-,2176,2173,4349,21,21,42,2197,2194,4391
PORT HEDLAND,1996,-,2453,2462,4915,39,39,78,2492,2501,4993
PORT HEDLAND,1997,-,2102,2075,4177,49,50,99,2151,2125,4276
PORT HEDLAND,1998,-,1946,1936,3882,51,51,102,1997,1987,3984
PORT HEDLAND,1999,-,1209,1205,2414,50,51,101,1259,1256,2515
PORT HEDLAND,2000,-,1265,1265,2530,0,0,0,1265,1265,2530
PORT HEDLAND,2001,-,1320,1318,2638,0,0,0,1320,1318,2638
PORT HEDLAND,2002,-,1194,1194,2388,0,0,0,1194,1194,2388
PORT HEDLAND,2003,-,1180,1179,2359,0,0,0,1180,1179,2359
PORT HEDLAND,2004,-,1368,1368,2736,0,0,0,1368,1368,2736
PORT HEDLAND,2005,-,1265,1260,2525,0,0,0,1265,1260,2525
PORT HEDLAND,2006,-,1032,1029,2061,0,0,0,1032,1029,2061
PORT HEDLAND,2007,-,1125,1123,2248,0,0,0,1125,1123,2248
PORT HEDLAND,2008,-,1481,1479,2960,0,0,0,1481,1479,2960
PORT HEDLAND,2009,-,1350,1347,2697,0,0,0,1350,1347,2697
PORT HEDLAND,2010,-,2262,2084,4346,22,22,44,2284,2106,4390
PORT HEDLAND,2011,30,2589,2399,4988,12,12,24,2601,2411,5012
PORT HEDLAND,2012,26,2988,2907,5895,0,0,0,2988,2907,5895
PORT HEDLAND,2013,29,2966,2910,5876,0,0,0,2966,2910,5876
PORT HEDLAND,2014,30,2832,2770,5602,0,0,0,2832,2770,5602
PORT HEDLAND,2015,29,2661,2606,5267,34,34,68,2695,2640,5335
PORT HEDLAND,2016,-,2475,2412,4887,53,53,106,2528,2465,4993
PORT LINCOLN,1985,24,3182,3170,6352,0,0,0,3182,3170,6352
PORT LINCOLN,1986,17,4942,4919,9861,0,0,0,4942,4919,9861
PORT LINCOLN,1987,-,2497,2495,4992,0,0,0,2497,2495,4992
PORT LINCOLN,1988,25,3178,3164,6342,0,0,0,3178,3164,6342
PORT LINCOLN,1989,24,3104,3071,6175,0,0,0,3104,3071,6175
PORT LINCOLN,1990,29,2818,2820,5638,0,0,0,2818,2820,5638
PORT LINCOLN,1991,33,2963,2963,5926,0,0,0,2963,2963,5926
